Url,Index,Title,Author,Stars,Ratings,Price
https://www.amazon.in//Ikigai-H%C3%A9ctor-Garc%C3%ADa/dp/178633089X/ref=zg_bs_books_1/259-6257366-4988529?_encoding=UTF8&psc=1&refRID=8AAQ2B87Q37Z8BMNWA0Y,#1,Ikigai: The Japanese secret to a long and happy life,Héctor García,4.6 out of 5 stars,20.539,290.00
https://www.amazon.in//My-First-Library-Boxset-Board/dp/9387779262/ref=zg_bs_books_2/259-6257366-4988529?_encoding=UTF8&psc=1&refRID=8AAQ2B87Q37Z8BMNWA0Y,#2,My First Library: Boxset of 10 Board Books for Kids,Wonder House Books,4.5 out of 5 stars,33.042,429.00
https://www.amazon.in//Psychology-Money-Morgan-Housel/dp/9390166268/ref=zg_bs_books_3/259-6257366-4988529?_encoding=UTF8&psc=1&refRID=8AAQ2B87Q37Z8BMNWA0Y,#3,The Psychology of Money,Morgan Housel,4.6 out of 5 stars,15.103,255.00
https://www.amazon.in//Atomic-Habits-James-Clear/dp/1847941834/ref=zg_bs_books_4/259-6257366-4988529?_encoding=UTF8&psc=1&refRID=8AAQ2B87Q37Z8BMNWA0Y,#4,Atomic Habits: The life-changing million copy bestseller,James Clear,4.6 out of 5 stars,24.037,531.00
https://www.amazon.in//Rich-Dad-Poor-Middle-Updates/dp/1612680194/ref=zg_bs_books_5/259-6257366-4988529?_encoding=UTF8&psc=1&refRID=8AAQ2B87Q37Z8BMNWA0Y,#5,Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,4.6 out of 5 stars,45.856,317.00
https://www.amazon.in//Picture-Books-Collection-Early-Learning/dp/B01M0QGF0P/ref=zg_bs_books_6/259-6257366-4988529?_encoding=UTF8&psc=1&refRID=8AAQ2B87Q37Z8BMNWA0Y,#6,Picture Books Collection for Early Learning (Set of 12),E C Axus,4.3 out of 5 stars,9.291,240.00
https://www.amazon.in//Worlds-Greatest-Personal-Growth-Wealth/dp/9389432014/ref=zg_bs_books_7/259-6257366-4988529?_encoding=UTF8&psc=1&refRID=8AAQ2B87Q37Z8BMNWA0Y,#7,World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books): Perfect Motivational Gift Set,Dale Carnegie,4.5 out of 5 stars,10.67,548.00
https://www.amazon.in//Word-Power-Made-Norman-Lewis/dp/0143424688/ref=zg_bs_books_8/259-6257366-4988529?_encoding=UTF8&psc=1&refRID=8AAQ2B87Q37Z8BMNWA0Y,#8,Word Power Made Easy,Norman Lewis,4.4 out of 5 stars,25.667,91.00
https://www.amazon.in//First-Mythology-Tale-Illustrated-Books/dp/9390292964/ref=zg_bs_books_9/259-6257366-4988529?_encoding=UTF8&psc=1&refRID=8AAQ2B87Q37Z8BMNWA0Y,#9,"My First Mythology Tale (Illustrated) (Set of 5 Books) - Mahabharata, Krishna, Hanuman, Ganesha, Ramayana - Story Book for Kids",Maple Press,4.4 out of 5 stars,1.119,131.00
https://www.amazon.in//First-Book-Patterns-Pencil-Control/dp/9387779319/ref=zg_bs_books_10/259-6257366-4988529?_encoding=UTF8&psc=1&refRID=8AAQ2B87Q37Z8BMNWA0Y,#10,My First Book of Pencil Control : Practice Pattern Writing (Full Color Pages): Patterns Practice book for kids (Pattern Writing),Wonder House Books,4.4 out of 5 stars,9.383,89.00
https://www.amazon.in//Grandmas-Bag-Stories-Sudha-Murty/dp/0143333623/ref=zg_bs_books_11/259-6257366-4988529?_encoding=UTF8&psc=1&refRID=8AAQ2B87Q37Z8BMNWA0Y,#11,"Grandma's Bag of Stories: Collection of 20+ Illustrated short stories, traditional Indian folk tales for all ages for children of all ages by Sudha Murty",Sudha Murty,4.6 out of 5 stars,8.325,192.00
https://www.amazon.in//Alchemist-Paulo-Coelho/dp/8172234988/ref=zg_bs_books_12/259-6257366-4988529?_encoding=UTF8&psc=1&refRID=8AAQ2B87Q37Z8BMNWA0Y,#12,The Alchemist,Paulo Coelho,4.6 out of 5 stars,62.171,191.00
https://www.amazon.in//KAREENA-KAPOOR-KHANS-PREGNANCY-BIBLE/dp/939116577X/ref=zg_bs_books_13/259-6257366-4988529?_encoding=UTF8&psc=1&refRID=8AAQ2B87Q37Z8BMNWA0Y,#13,KAREENA KAPOOR KHAN’S PREGNANCY BIBLE: The ultimate manual for moms-to-be,Kareena Kapoor,5.0 out of 5 stars,1.0,373.00
